issue_id,status,severity,title,description,owner,first_seen_at,last_seen_at,related_run_id,related_operation_id,resolution,resolved_at
issue_9141a7a5538fd458f54f,resolved,warning,Telegram delivery failed: d3c816d22ba7ec5bb52ac8278b8f231f68dace74,"report=data/wiki/daily-reports/daily-report_20260724.md commit=d3c816d22ba7ec5bb52ac8278b8f231f68dace74 next_chunk=0 total_chunks=2 error=Telegram HTTP 401: {""ok"":false,""error_code"":401,""description"":""Unauthorized""}",delivery,2026-07-24T22:33:25Z,2026-07-27T20:24:36Z,gha-30131099054-1,,Superseded by the successfully delivered 2026-07-27 committed report; this stale 2026-07-24 notification was intentionally not resent to avoid duplicate historical delivery.,2026-07-27T20:24:36Z
issue_989496e6d541f631fc1d,resolved,warning,Daily preparation degraded: security_8472507d7d320aa388a7,security_8472507d7d320aa388a7: price cache is empty,deterministic-controller,2026-07-26T18:50:24Z,2026-07-26T19:18:49Z,local-20260726-cron-01,,Live daily preparation local-20260726-cron-02 retrieved a valid 2026-07-24 market bar with status ok for this security; the earlier sandbox or offline retrieval failure is no longer current.,2026-07-26T19:18:49Z
issue_9b4cbf2dec47a2d5f28b,resolved,warning,Daily preparation degraded: security_9d4049ed6669a52815d6,security_9d4049ed6669a52815d6: MarketDataError: invalid OHLC range on 2026-07-27 for security_9d4049ed6669a52815d6,deterministic-controller,2026-07-26T18:30:38Z,2026-07-27T20:24:07Z,gha-30280283355-1,,"A completed-session refresh on 2026-07-27 succeeded after market normalization began excluding unfinished sessions before validation and audibly repairing yfinance OHLC envelopes from the provider-reported open, high, low, and close; SQM is status ok for 2026-07-27.",2026-07-27T20:24:07Z
issue_9bb35d41561c0d110e8c,resolved,error,Local harness operation validation failed: 01KYEW1WW0GW20E98KH16K9RBK,commands_run does not exactly match deterministic CLI audit receipts,controller,2026-07-26T17:46:52Z,2026-07-26T17:49:56Z,local-20260726-research-03,01KYEW1WW0GW20E98KH16K9RBK,Fresh harness retry local-20260726-research-03-retry validated and completed the operation successfully; exact audit receipts and strict wiki lint passed.,2026-07-26T17:49:56Z
issue_a3c2febb69c6663ae333,resolved,warning,Daily preparation degraded: classifier blocked for data/wiki/inbox/market-security_4627aea1bf7d8943d3d8-rsi_oversold-e0b5f3290c6e.md,classifier blocked for data/wiki/inbox/market-security_4627aea1bf7d8943d3d8-rsi_oversold-e0b5f3290c6e.md,deterministic-controller,2026-07-27T14:06:24Z,2026-07-27T15:31:12Z,gha-30273371484-1,,Classifier recovered and recorded the final ingest decision.,2026-07-27T15:31:12Z
issue_a6149d5a8fe2fa8bb3cd,resolved,error,Hermes operation validation failed: 01KYHW5710C90D1S5BAXB10915,commands_run does not exactly match deterministic CLI audit receipts,controller,2026-07-28T02:06:21Z,2026-07-28T02:14:28Z,local-20260728-daily-all-11,01KYHW5710C90D1S5BAXB10915,"Clarified that commands_run must contain exactly and only canonical command-audit receipts, added prompt regression coverage, and verified the same Ternium relationship operation succeeded idempotently in local-20260728-daily-all-12.",2026-07-28T02:14:28Z
issue_aac0db74aa0c133607b1,resolved,error,Hermes operation validation failed: 01KYJMQ5DG45HKS1DT01QB8X4N,post-run integrity: published decision snapshot does not match current authoritative state,controller,2026-07-27T21:02:05Z,2026-07-27T21:21:00Z,local-20260727-daily-all-01,01KYJMQ5DG45HKS1DT01QB8X4N,"Made publication freshness phase-aware, retained all structural and accounting checks during prepared operations, added regression coverage, and verified the same RBLX operation succeeded in local-20260727-daily-all-02 before final publication regenerated the current snapshot.",2026-07-27T21:21:00Z
issue_acfbebf0c986cbab342f,resolved,warning,Daily preparation degraded: security_ed7d5b616a196969c815,security_ed7d5b616a196969c815: price cache is empty,deterministic-controller,2026-07-26T18:50:24Z,2026-07-26T19:18:51Z,local-20260726-cron-01,,Live daily preparation local-20260726-cron-02 retrieved a valid 2026-07-24 market bar with status ok for this security; the earlier sandbox or offline retrieval failure is no longer current.,2026-07-26T19:18:51Z
issue_ad21944ead57ede6e2ac,resolved,warning,Daily preparation degraded: security_6ad1af8d10d6276a0221,security_6ad1af8d10d6276a0221: price cache is empty,deterministic-controller,2026-07-26T18:30:38Z,2026-07-26T19:18:51Z,local-20260726-cron-01,,Live daily preparation local-20260726-cron-02 retrieved a valid 2026-07-24 market bar with status ok for this security; the earlier sandbox or offline retrieval failure is no longer current.,2026-07-26T19:18:51Z
issue_b04460fc941344218f71,resolved,warning,Daily preparation degraded: security_c120e9f26ebb6159adf9,security_c120e9f26ebb6159adf9: price cache is empty,deterministic-controller,2026-07-26T18:41:33Z,2026-07-26T19:18:52Z,local-20260726-cron-01,,Live daily preparation local-20260726-cron-02 retrieved a valid 2026-07-24 market bar with status ok for this security; the earlier sandbox or offline retrieval failure is no longer current.,2026-07-26T19:18:52Z
issue_b9bb38b0435eee030308,resolved,warning,Daily preparation degraded: classifier blocked for data/wiki/inbox/market-security_2c779e81c27b78c556bb-bollinger_above_upper-3a01ce587bee.md,classifier blocked for data/wiki/inbox/market-security_2c779e81c27b78c556bb-bollinger_above_upper-3a01ce587bee.md,deterministic-controller,2026-07-26T19:02:00Z,2026-07-27T15:31:12Z,local-20260726-cron-02,,Classifier recovered and recorded the final ingest decision.,2026-07-27T15:31:12Z
issue_bd977249cf9b37fa11b6,resolved,error,Hermes operation validation failed: 01KYJV7BH02PK4VT3WTS7SQQ61,Hermes exited with status 1; agent result is missing or a symlink: data/runs/local-20260728-daily-all-31/01KYJV7BH02PK4VT3WTS7SQQ61/agent_result.json,controller,2026-07-28T09:11:43Z,2026-07-28T09:34:36Z,local-20260728-daily-all-31,01KYJV7BH02PK4VT3WTS7SQQ61,"The scheduled RTX RSI packet was fully ingested and its immutable successful agent manifest is present in local-20260728-daily-all-30. Replaying source observations now reconstructs first_seen_at and last_changed_at from canonical checked_at values, so the post-run assessment-integrity errors no longer reproduce; schema, wiki, and strict integrity validation pass after publication refresh.",2026-07-28T09:34:36Z
issue_c035ba6451c092224a7f,resolved,warning,Daily preparation degraded: classifier blocked for data/wiki/inbox/market-security_fb87fac302a5446a1ced-rsi_oversold-97348588c910.md,classifier blocked for data/wiki/inbox/market-security_fb87fac302a5446a1ced-rsi_oversold-97348588c910.md,deterministic-controller,2026-07-26T19:02:00Z,2026-07-27T15:31:12Z,local-20260726-cron-02,,Classifier recovered and recorded the final ingest decision.,2026-07-27T15:31:12Z
issue_c68edb5cb872f823b86c,resolved,error,Hermes operation validation failed: 01KYJMQ5DG3GHE5SE79GNY4DSH,path is outside relationship_research scope: data/wiki/research-catalog.md,controller,2026-07-27T21:37:57Z,2026-07-27T21:40:43Z,local-20260727-daily-all-03,01KYJMQ5DG3GHE5SE79GNY4DSH,"Aligned the result-validator wiki scope with the required research-catalog update, added coverage for every wiki-capable operation type, and verified the duplicate retry was safely merged into the existing equivalent active relationship task.",2026-07-27T21:40:43Z
issue_c69b1fa014248a791e87,resolved,warning,Daily preparation degraded: security_bdc2f87dadf134760c3a,security_bdc2f87dadf134760c3a: price cache is empty,deterministic-controller,2026-07-26T18:50:24Z,2026-07-26T19:18:53Z,local-20260726-cron-01,,Live daily preparation local-20260726-cron-02 retrieved a valid 2026-07-24 market bar with status ok for this security; the earlier sandbox or offline retrieval failure is no longer current.,2026-07-26T19:18:53Z
issue_c74225aa581c50e9a829,resolved,warning,Daily preparation degraded: classifier blocked for data/wiki/inbox/market-security_59304f90c440def31dc5-rsi_overbought-22069206cbf5.md,classifier blocked for data/wiki/inbox/market-security_59304f90c440def31dc5-rsi_overbought-22069206cbf5.md,deterministic-controller,2026-07-26T19:02:00Z,2026-07-27T15:31:12Z,local-20260726-cron-02,,Classifier recovered and recorded the final ingest decision.,2026-07-27T15:31:12Z
issue_d21a93a824fdaf0ec1dd,resolved,warning,Daily preparation degraded: security_37ddcbdaad296ad831f2,security_37ddcbdaad296ad831f2: price cache is empty,deterministic-controller,2026-07-26T18:50:24Z,2026-07-26T19:18:54Z,local-20260726-cron-01,,Live daily preparation local-20260726-cron-02 retrieved a valid 2026-07-24 market bar with status ok for this security; the earlier sandbox or offline retrieval failure is no longer current.,2026-07-26T19:18:54Z
issue_d759882b3af9c8ff2505,resolved,warning,Daily preparation degraded: classifier blocked for data/wiki/inbox/market-security_66cdcf90aac0d83e76f3-rsi_oversold-c65ee3726752.md,classifier blocked for data/wiki/inbox/market-security_66cdcf90aac0d83e76f3-rsi_oversold-c65ee3726752.md,deterministic-controller,2026-07-26T19:02:00Z,2026-07-27T15:31:12Z,local-20260726-cron-02,,Classifier recovered and recorded the final ingest decision.,2026-07-27T15:31:12Z
issue_d86e39a339fa322f40f1,open,warning,Telegram delivery failed: a1340c7457be74bc0d53dcf03b78647077a1ae75,"report=data/wiki/daily-reports/daily-report_20260727.md commit=a1340c7457be74bc0d53dcf03b78647077a1ae75 next_chunk=0 total_chunks=1 error=Telegram HTTP 401: {""ok"":false,""error_code"":401,""description"":""Unauthorized""}",delivery,2026-07-27T23:18:54Z,2026-07-27T23:18:54Z,gha-30310927695-1,,,
issue_e400646adc371df53af3,resolved,error,Baseline increase cannot be handed to execute_strategy,"Allocation plan allocation_plan_8859abf5cf5708b35855 requires disposition increase for strategy_bd005fc3733b1475b6f9, but schemas/operation_payload.schema.json does not allow increase in execute_strategy inputs.action. Mapping the action to open would conflict with the routed execute skill's exact plan-action identity check. No new signal or follow-up operation was created.",controller,2026-07-28T08:06:26Z,2026-07-28T08:14:33Z,local-20260728-daily-all-26,01KYKVJX78J2EE4VMWVGHJBAQZ,"Aligned the schema, strategy skill, execute skill, architecture contract, and operator documentation: allocation dispositions open and increase both use the open signal lifecycle action, while deterministic code derives the current-plan quantity.",2026-07-28T08:14:33Z
issue_e6aff19b80293e0c91cd,resolved,warning,Daily preparation degraded: classifier blocked for data/wiki/inbox/market-security_2c779e81c27b78c556bb-bollinger_above_upper-9327af26235b.md,classifier blocked for data/wiki/inbox/market-security_2c779e81c27b78c556bb-bollinger_above_upper-9327af26235b.md,deterministic-controller,2026-07-27T14:06:24Z,2026-07-27T15:31:12Z,gha-30273371484-1,,Classifier recovered and recorded the final ingest decision.,2026-07-27T15:31:12Z
issue_ea4cacba630c6350ee4f,open,warning,Telegram delivery failed: a8393d13b8e650e0d813cc9346c3d11dd063264f,"report=data/wiki/daily-reports/daily-report_20260728.md commit=a8393d13b8e650e0d813cc9346c3d11dd063264f next_chunk=0 total_chunks=1 error=Telegram HTTP 401: {""ok"":false,""error_code"":401,""description"":""Unauthorized""}",delivery,2026-07-28T09:58:13Z,2026-07-28T09:58:13Z,gha-30347797513-1,,,
issue_f320e056b26d54014584,resolved,warning,Daily preparation degraded: security_a9eb9838940ef5ceaa0c,security_a9eb9838940ef5ceaa0c: YFTzMissingError: $FLNC: possibly delisted; no timezone found,deterministic-controller,2026-07-26T19:00:28Z,2026-07-26T19:18:54Z,local-20260726-cron-01,,Live daily preparation local-20260726-cron-02 retrieved a valid 2026-07-24 market bar with status ok for this security; the earlier sandbox or offline retrieval failure is no longer current.,2026-07-26T19:18:54Z
issue_ffc402070fafe1a1883b,resolved,error,Hermes operation validation failed: 01KYKS86K8A5F4K0QD1XCN4A0Z,command audit entry 0 is outside the operation skill scope,controller,2026-07-28T07:39:26Z,2026-07-28T07:57:24Z,local-20260728-daily-all-24,01KYKS86K8A5F4K0QD1XCN4A0Z,"Resolved by adding order create-baseline to the execute-strategy command scope, covering it with validator tests, correcting whole-share recovery at Decimal precision boundaries, cancelling the under-sized pending order, and completing replacement operation 01KYKV4N5G1PN472NXJR651SYK with a validated seven-share pending order.",2026-07-28T07:57:24Z
